DocId,Document,Top_Topic
0,Abu Dhabi_United Arab Emirates,29
1,Abuja_Nigeria,13
2,Accra_Ghana,52
3,"Adamstown, Pitcairn Island_Pitcairn Islands",5
4,Addis Ababa_Ethiopia,13
5,Algiers_Algeria,39
6,Alofi_Niue,13
7,Amman_Jordan,13
8,Amsterdam_Netherlands,13
9,Andorra la Vella_Andorra,15
10,Ankara_Turkey,64
11,Antananarivo_Madagascar,13
12,Apia_Samoa,55
13,Ashgabat_Turkmenistan,27
14,Asmara_Eritrea,13
15,Astana_Kazakhstan,13
16,Asuncion_Paraguay,7
17,Athens_Greece,86
18,Avarua_Cook Islands,5
19,Baghdad_Iraq,6
20,Baku_Azerbaijan,22
21,Bamako_Mali,13
22,Bandar Seri Begawan_Brunei,92
23,Bangkok_Thailand,63
24,Bangui_Central African Republic,12
25,Banjul_The Gambia,15
26,Basse-Terre_Guadeloupe,13
27,Basseterre_Saint Kitts and Nevis,49
28,Beijing_China,47
29,Beirut_Lebanon,6
30,Belgrade_Serbia,14
31,Belmopan_Belize,13
32,Berlin_Germany,53
33,Bern_Switzerland,13
34,Bishkek_Kyrgyzstan,13
35,Bissau_Guinea-Bissau,13
36,Bogotá_Colombia,13
37,Brasília_Brazil,13
38,Bratislava_Slovakia,33
39,Brazzaville_Republic of the Congo,48
40,Bridgetown_Barbados,13
41,Bucharest_Romania,13
42,Budapest_Hungary,33
43,Buenos Aires_Argentina,13
44,Bujumbura_Burundi,13
45,Cairo_Egypt,13
46,Canberra_Australia,13
47,Cape Town_South Africa,13
48,Caracas_Venezuela,7
49,Castries_Saint Lucia,49
50,Cayenne_French Guiana,13
51,"Charlotte Amalie, United States Virgin Islands_United States Virgin Islands",54
52,Chisinau_Moldova,66
53,City of Brussels_Belgium,13
54,City of San Marino_San Marino,50
55,Cockburn Town_Turks and Caicos Islands,13
56,Conakry_Guinea,13
57,Copenhagen_Denmark,13
58,Dakar_Senegal,13
59,Damascus_Syria,6
60,Dhaka_Bangladesh,13
61,Dili_East Timor,2
62,Djibouti (city)_Djibouti,13
63,Dodoma_Tanzania,80
64,Doha_Qatar,13
65,"Douglas, Isle of Man_Isle of Man",89
66,Dublin_Republic of Ireland,89
67,Dushanbe_Tajikistan,81
68,East Jerusalem_Palestinian National Authority,56
69,Edinburgh of the Seven Seas_Tristan da Cunha,5
70,Episkopi Cantonment_Akrotiri and Dhekelia,95
71,Flying Fish Cove_Christmas Island,5
